1	6	8	9	8	8	10	10	9	10	9	9	9	10	9	10	9	10	10	9	10	10	10	10	10	10	9	10	9	10	10	9	10	10	8	9	10	9	10	10	9	9	9	9	10	10	10	9	10	9	10	9	8	10	9	8	10	10	10	10	10	10	7	10	10	10	10	10	7	10	10	9	10	10	9	9	10	9	10	10	9	10	10	8	10	8	10	8	9	10	10	9	10	9	10	10	9	10	9	10	9	10	10	9	10	10	9	9	10	9	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	9	9	10	10	10	9	10	9	10	10	9	10	10	10
3	5	10	9	8	10	10	9	10	10	10	10	10	9	10	9	8	9	8	8	9	10	10	9	10	10	10	10	9	10	9	10	10	9	9	10	10	10	10	10	9	10	10	10	10	9	10	8	9	8	9	10	10	10	9	10	10	10	10	10	10	9	9	9	10	9	10	10	10	9	8	9	9	9	10	10	10	10	10	10	10	10	8	10	9	10	9	10	10	10	10	10	10	9	9	10	9	10	10	9	10	9	10	9	10	10	10	10	10	10	9	10	9	10	9	10	10	10	10	10	9	8	10	9	9	10	10	9	10	10	9	10	10	10	9	10	10	10	10	10
1	6	7	7	9	10	8	9	8	10	10	10	10	10	10	10	10	10	10	10	10	10	9	10	9	10	10	10	9	9	10	10	9	10	10	10	10	10	10	10	10	10	10	10	9	10	9	10	10	10	10	10	9	10	10	10	10	10	10	10	7	9	10	9	10	10	9	9	8	9	10	10	9	9	10	10	10	10	10	10	9	10	8	10	10	9	9	9	10	9	10	10	10	9	10	10	10	10	10	9	10	10	10	9	10	10	10	10	9	10	9	9	10	10	10	10	10	10	9	9	9	9	10	10	10	10	9	10	9	10	10	10	10	9	9	10	10	9	9	10
2	6	8	9	9	7	10	9	9	10	9	10	9	9	9	10	10	9	9	10	9	10	10	10	10	10	9	8	10	10	9	10	10	10	10	10	9	10	9	10	10	10	9	10	8	10	10	10	10	9	10	9	10	10	10	8	10	9	10	10	10	10	10	10	9	10	10	10	8	9	8	9	10	10	10	10	10	10	10	10	10	10	8	8	9	8	10	7	10	9	9	10	9	10	9	10	9	10	10	10	10	10	10	9	10	9	9	9	9	9	10	10	10	10	9	10	9	10	10	9	10	10	9	10	10	10	10	10	9	9	9	10	8	9	10	10	9	9	9	10
0	7	8	7	10	9	9	10	10	10	10	10	10	10	9	9	10	10	10	10	9	10	10	9	9	9	10	9	9	10	9	10	9	7	9	10	10	10	10	10	10	10	9	9	8	10	8	10	10	10	10	9	10	10	8	10	10	10	9	9	10	10	10	10	10	10	9	9	9	10	10	10	10	9	10	9	10	10	9	10	10	10	10	10	10	10	9	10	10	10	8	8	9	8	9	9	10	9	10	10	9	10	10	9	10	9	10	10	10	9	10	10	10	10	9	10	10	8	10	10	10	10	9	9	10	10	10	10	10	10	9	9	10	9	10	10	10	10	9	10
1	4	10	10	10	9	8	9	10	8	10	10	9	9	10	10	10	9	10	9	10	10	8	9	9	9	10	10	10	10	10	8	10	9	9	9	9	9	10	8	9	9	9	9	8	10	8	9	10	9	9	9	10	10	9	9	9	9	10	9	10	9	10	10	10	10	10	10	8	9	9	10	10	10	10	10	10	9	9	9	8	10	10	9	10	9	10	9	9	10	9	8	9	10	9	9	10	10	10	10	10	8	10	10	10	10	8	9	9	10	9	9	10	10	10	9	10	10	9	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
3	3	7	10	8	10	10	8	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	10	9	10	10	9	10	10	10	9	10	10	10	10	9	9	10	10	9	9	10	10	9	10	10	10	10	9	10	10	10	10	9	10	9	10	10	10	8	10	9	9	10	10	10	10	10	10	9	9	9	9	10	10	10	8	10	10	8	10	9	10	10	9	9	10	10	10	10	10	10	9	9	9	10	10	10	9	10	10	10	9	8	10	10	10	10	9	9	8	9	10	10	10	8	10	10	10	10	10	10	10	10	10	10	10	10
3	4	9	8	8	8	10	10	10	10	9	10	10	10	10	10	10	10	8	9	10	9	8	10	10	10	10	10	9	10	9	9	9	9	10	10	10	8	10	9	9	10	10	9	10	10	10	10	9	8	10	8	10	9	9	9	10	9	10	10	9	9	10	10	8	10	10	9	10	7	7	8	10	10	10	9	10	10	9	9	9	9	10	10	10	9	9	9	10	9	9	10	10	10	10	10	9	9	10	10	10	9	10	10	10	10	9	10	10	10	9	10	10	10	10	10	10	10	10	9	9	10	10	8	10	10	10	10	10	9	9	10	10	10	10	10	9	10	10	10
1	5	10	8	9	9	10	9	10	9	8	8	10	10	10	10	10	10	9	10	10	10	9	10	10	10	10	10	10	10	8	10	9	10	10	10	10	9	10	8	10	8	9	9	10	9	10	8	10	10	9	10	10	10	9	9	10	10	9	9	10	10	10	9	10	9	10	10	9	10	10	9	10	10	10	9	9	9	10	10	9	10	7	8	9	10	10	10	10	10	10	10	10	9	9	10	10	10	10	8	9	10	10	10	9	8	9	9	8	8	9	10	7	10	9	10	9	8	10	10	10	9	9	10	10	10	10	9	10	10	9	9	9	10	10	9	9	9	9	10
1	8	8	8	9	10	10	10	9	10	10	10	10	9	10	9	10	10	10	10	9	10	10	9	10	10	10	9	8	10	10	10	10	9	9	10	10	10	10	9	10	10	9	9	9	10	10	10	9	9	9	9	10	10	10	10	9	10	10	10	10	10	9	10	8	10	8	9	9	10	10	9	10	10	9	9	10	10	10	10	10	9	10	9	10	9	10	10	10	10	10	10	9	10	10	9	10	10	10	10	9	10	10	10	8	10	10	9	9	9	9	10	10	9	9	10	9	9	10	10	9	10	9	10	9	10	9	10	10	9	9	8	10	10	9	9	10	10	9	10
